판매처,위도,경도
(본사)강창규,37.56744,127.082286
(본사)김경호,37.56744,127.082286
(본사)김아람,37.56744,127.082286
(본사)김요한,37.56744,127.082286
(본사)유승현,37.56744,127.082286
(본사)이근용,37.56744,127.082286
(본사)이상연,37.56744,127.082286
(직영)광교법조타운점,37.292358,127.067489
(직영)광교월드마크점,37.291913,127.048377
(직영)구의점,37.537997,127.088672
(직영)녹번역점,37.600682,126.934432
(직영)동대문역점,37.5719,127.010633
(직영)마석점,37.65241,127.306118
(직영)마천점,37.496874,127.151986
(직영)미사강변점,37.557877,127.188127
(직영)미사직영점,37.568981,127.18455
(직영)상봉점,37.592461,127.086296
(직영)서울대점,37.470621,126.936659
(직영)은평포수마을점,37.601209,126.926904
(직영)응암역점,37.598702,126.914876
(직영)중곡점,37.56744,127.082286
(직영)하남점,37.551209,127.20843
(직영)화정역점,37.632697,126.832567
1호선통신 (서울 영등포구 신길동),37.513796,126.926907
88통신 (서울 영등포구 대림동),37.48881,126.899565
CJ폰뱅크 (서울 성동구 행당동),37.557758,127.030666
H텔레콤 (경기 남양주 별내면),37.709164,127.114302
TM브이텔레콤 (강변TM),37.535699,127.095765
TM힐링_맥스(강변TM),37.535699,127.095765
가온정보통신 (신도림TM),37.506974,126.890319
경인정보 (부천 원미구 심곡동),37.485269,126.783293
광장대리점,37.56744,127.082286
그린텔레콤 (서울 중랑구 사가정),37.579571,127.086946
글로벌 구래직영점 (경기 김포시 구래동),37.643111,126.624287
글로벌 스퀘어점 (인천 서구 청라동),37.532293,126.641659
글로벌 청라롯데마트점 (인천 서구 청라동),37.530901,126.646959
글로벌 청라본점 (인천 서구 청라동),37.532214,126.65292
글로벌모바일 스페이스점 (인천 서구 청라동),37.533881,126.645718
꾸러기통신 (경기 의왕시 포일동),37.39755,126.987441
나리 (서울 성동구 왕십리),37.561289,127.038382
남서울정보통신 (서울 관악구 신림동),37.480091,126.90282
넷피플 (서울 강서구 가양동),37.563601,126.852029
누리텔레콤 (서울 강서구 화곡동),37.532357,126.857634
뉴행복통신(서울 동작구 상도동),37.503034,126.936347
대광모바일 (부천D) (인천 동구 화평동),37.480101,126.628843
대진17호 (인천 남동구 서창동),37.426171,126.74759
대호텔레콤 (서울 도봉구 창동),37.63346,127.040249
더블와이컴퍼니 (서울 광진구 중곡동),37.563759,127.079875
도매폰 (경기 광주시 태전동),37.386228,127.23386
동네통신 (서울 광진구 중곡동),37.558598,127.087499
동북통신 (서울 영등포구 대림동),37.489038,126.899088
드루와통신 (서울 동작구 대방동),37.512694,126.930775
드림S&C (서울 중랑구 중화동),37.601716,127.080976
디비통신동백 (용인 기흥구 동백),37.270864,127.152897
디비통신언남 (용인 기흥구 언남동),37.294578,127.117807
디와이텔레콤 (서울 노원구 하계동),37.64026,127.072739
따르릉_고덕점 (서울 강동구 고덕동),37.557906,127.162626
따르릉_광명점 (경기 광명시 소하동),37.448469,126.884053
따르릉_구리점 (경기 구리시 수택동),37.591556,127.146209
따르릉_노원역점 (서울 노원구 상계동),37.656399,127.062218
따르릉_다산점 (경기 남양주시 다산동),37.625202,127.154932
따르릉_대치점 (서울 강남구 대치동),37.497815,127.067581
따르릉_둔촌(서울 강동구 성내동),37.529324,127.13628
따르릉_루원시티 (인천 서구 가정동),37.52087,126.675181
따르릉_마들점(서울 노원구 상계동),37.665997,127.057902
따르릉_목동역점 (서울 양천구 목동),37.527383,126.864447
따르릉_미아점 (서울 강북구 미아동),37.618381,127.021617
따르릉_배곧점 (경기 시흥시 배곧동),37.368743,126.729731
따르릉_북가좌점 (서울 서대문구 북가좌동),37.576338,126.914507
따르릉_불광점 (서울 은평구 불광동),37.611437,126.929471
따르릉_서초점 (서울 서초구 서초동),37.489087,127.026178
따르릉_송파점 (서울 송파구 가락동),37.497987,127.103227
따르릉_수유점(서울 강북구 수유동),37.632852,127.023852
따르릉_신촌점 (서울 마포구 대흥동),37.555373,126.944482
따르릉_신풍점 (서울 영등포구 신길동),37.503998,126.911699
따르릉_양천본점 (서울 양천구 신정동),37.517622,126.853705
따르릉_옥정점 (경기 양주시 옥정동),37.818558,127.092214
따르릉_외대역점 (서울 동대문구  이문동),37.597003,127.060841
따르릉_원흥점 (고양 덕양구 원흥동),37.650236,126.872406
따르릉_월곡점 (서울 성북구 하월곡동),37.606659,127.039293
따르릉_위례점 (서울 송파구 장지동),37.476369,127.143467
따르릉_위례중앙점(경기 하남시 학암동),37.475035,127.152705
따르릉_잠실점 (서울 송파구 잠실동),37.511294,127.08492
따르릉_장항점 (고양 일산동구 장항동),37.661568,126.768587
따르릉_죽전점 (용인 수지구 죽전동),37.328772,127.124445
따르릉_중계점 (서울 노원구 중계동),37.649989,127.077008
따르릉_창동점(서울 도봉구 창동),37.653447,127.04633
따르릉_평내점 (경기 남양주시 평내동),37.645657,127.234707
따르릉_평촌호계점(경기도 안양시 호계동),37.382991,126.959627
따르릉_화곡점 (서울 강서구 화곡동),37.547198,126.83681
땡큐모바일 (서울 은평구 대조동),37.606854,126.922685
띠띠모바일 (서울 중랑구 상봉동),37.592993,127.076518
라온 네트웍스 (경기 김포시 장기동),37.64204,126.679169
라온 송도 (인천 연수구 송도동),37.376728,126.65376
라온 화곡점 (서울 강서구 화곡동),37.529904,126.838613
라인(강변TM),37.535699,127.095765
라인텔레콤_흥덕점 (용인 기흥구 흥덕),37.276498,127.073705
라임텔레콤 (의정부 녹양동),37.758007,127.036822
레전드모바일2 (인천 미추홀구 도화동),37.466499,126.657984
로이통신(신도림TM),37.506974,126.890319
루이통신 (서울 구로구 구로동),37.497262,126.884051
루키텔레콤 (성남 중원구 성남동),37.437186,127.141178
마루 (서울 성동구 왕십리),37.561972,127.038395
메인플라츠(갤럭시폰),37.486478,126.896101
명성정보통신 (서울 양천구 신정동),37.508257,126.864549
명지통신 (서울 영등포구 대림동),37.49316,126.899245
모바일트리 (서울 서초구 잠원동),37.517843,127.015417
모아정보통신 (서울 성북구 월곡동),37.60541,127.044423
모이자 (서울 구로구 가리봉동),37.483718,126.886366
미르_대림 (서울 영등포구 대림동),37.489163,126.898979
미소통신 (서울 노원구 상계동),37.665817,127.066602
미소통신 (서울 서초구 잠원동),37.515395,127.014146
민우모바일 (서울 구로구 구로동),37.485149,126.886182
바이폰 (경기 김포시 장기동),37.638804,126.673479
박군통신 (고양 덕양구 삼송동),37.65086,126.889013
백곰모바일 (서울 영등포구 당산동),37.530222,126.898264
번개폰 (서울 구로구 구로동),37.503514,126.89082
베스트텔레콤(서울 성동구 성수동),37.546589,127.044863
부일 (서울 영등포구 대림동),37.496414,126.902107
블루명가 (서울 관악구 봉천동),37.475717,126.964714
비젼텔레콤 (서울 광진구 중곡동),37.566265,127.084252
비즈모바일 주식회사 (부천D) (부천딜러),37.505361,126.74984
삼성플러스모바일 (서울 동작구 동작동),37.494731,126.979997
삼일통신 (서울 성동구 성수동),37.537835,127.052065
상상통신 (서울 광진구 군자동),37.54911,127.073141
새내모바일 (서울 송파구 잠실동),37.512046,127.084173
샤크텔레콤 (경기 화성시 향남읍),37.11634,126.913493
서아텔레콤 (경기 화성시 향남읍),37.115021,126.910277
소매팀,37.56744,127.082286
송텔레콤 (서울 마포구 상수동),37.547543,126.92405
스마일통신 (서울 관악구 봉천동),37.484831,126.946665
시내모바일 (서울 송파구 잠실동),37.511993,127.087026
신화정보통신 (서울 구로구 가리봉동),37.484816,126.886714
신흥가구 (서울 관악구 봉천동),37.477459,126.963434
아라역성지 (인천 서구 원당동),37.526732,126.672028
아름드리 (서울 금천구 시흥동),37.454086,126.902501
아이티통신 (서울 동대문구 용두동),37.57339,127.034119
아트텔레콤 (서울 영등포구 영등포),37.514782,126.902158
아프로모바일 (서울 성동구 왕십리),37.561289,127.038382
알R통신 (경기 남양주 별내면),37.708282,127.119294
알뜰온통신 (서울 금천구 독산동),37.464526,126.903012
알파통신 (성남 중원구 은행동),37.457941,127.164821
애플통신 (성남 분당구 구미동),37.340039,127.107747
애플트리 (서울 구로구 구로동),37.485217,126.886809
어텐션(고양시 일산동구 장항동),37.660532,126.768068
에스비모바일 (인천 남동구 논현동),37.399088,126.726422
에스와이 (경기 하남시 망월동),37.575572,127.190789
에스제이다솜_독산점 (서울 금천구 독산동),37.466289,126.901493
에스제이다솜_은행나무점 (서울 금천구 시흥동),37.452003,126.905818
에이스텔레콤 (안산 단원구 고잔동),37.314511,126.837
에이치디마케팅 (서울 구로구 구로동),37.505695,126.891649
에이치디마케팅 (서울 서초구 서초동),37.484742,127.017768
엔스피드(서울 은평구 불광동),37.610955,126.930057
엔에스텔레콤 (서울 노원구 상계동),37.670503,127.078615
연합정보통신 (서울 강북구 미아동),37.612056,127.030716
영심텔레콤 (서울 관악구 신림동),37.475831,126.937423
영심텔레콤 2호점(서울 관악구 신림동),37.465282,126.931671
영진모바일 (서울 양천구 신월동),37.519031,126.843654
예안텔레콤 (성남 중원구 성남동),37.430427,127.135594
오렌지모바일 (서울 중랑구 면목동),37.579905,127.087159
오션리테일,35.146703,126.853714
오케이모바일 (수원 장안구 영화동),37.289949,127.013673
온텔레콤 (서울 강북구 수유동),37.644709,127.018064
와우모바일_포스 (신도림TM),37.506974,126.890319
와이에스모바일 (성남 분당구 삼평동),37.403788,127.099942
요지통신 (서울 용산구 한강로),37.53301,126.965032
우람정보통신 (서울 영등포구 대림동),37.499514,126.898146
우리동네 도매폰 (서울 은평구 신사동),37.595788,126.908762
우리동네도매폰2호 (경기 고양시 중산동),37.689182,126.784764
우리통신 (서울 구로구 구로동),37.497887,126.882703
원모바일 (서울 구로구 개봉동),37.493391,126.857767
월드텔레콤 (서울 노원구 중계동),37.639936,127.064257
유니모바일 (인천 부평구 산곡동),37.513333,126.700285
유니모바일_청천점 (인천 부평구 청천동),37.516909,126.700454
유성텔레콤 (서울 도봉구 창동),37.652333,127.046779
유현통신 (경기 평택시 지산동),37.078961,127.058116
율리정보통신 (서울 도봉구 도봉동),37.672568,127.045241
은성텔레콤 (서울 구로구 개봉동),37.491679,126.853901
이노스페이스 (인천 서구 청라동),37.553154,126.645574
이미디어헤드2매장 (서울 송파구 마천동),37.498937,127.153614
이오모바일 (서울 송파구 잠실동),37.508815,127.083266
이지모바일 (서울 영등포구 여의도동),37.520806,126.929282
인자통신 (부천 소사구 송내동),37.472595,126.816968
일흥모바일 (고양 일산서구 일산동),37.686368,126.770614
재용모바일 (고양 일산서구 일산동),37.686169,126.769808
재우텔레콤 (경기 하남시 신장동),37.539904,127.206099
전국폰 (인천 서구 불로동),37.620295,126.681583
정석텔레콤 (인천 미추홀구 학익동),37.446997,126.666893
정일통신 (서울 구로구 개봉동),37.491497,126.85462
제이비텔레콤 (서울 강서구 화곡동),37.533493,126.863384
제이앤씨 (서울 은평구 신사동),37.600102,126.91007
제이에스통신 (경기 광주 오포읍 ),37.346296,127.174858
제이에치모바일 (서울 중랑구 망우동),37.59215,127.098051
제이엠모바일 (신도림TM),37.506974,126.890319
제이컴퍼니 (경기 광주 양벌동),37.377539,127.25677
제이컴퍼니_오포지점 (경기 광주시 양벌동),37.370403,127.24675
제이투모바일 (서울 금천구 시흥동),37.462382,126.908824
준정보통신 (서울 금천구 독산동),37.471354,126.903287
중앙텔레콤 (연천군 전곡읍),38.026838,127.067954
지니텔레콤 기흥구청점 (용인 기흥구 구갈동),37.280542,127.111684
지니텔레콤 동백점 (용인 기흥구 동백),37.269971,127.154175
지오통신 (경기 의왕시 장안지구),37.318496,126.958034
지정 (성남 중원구 성남동),37.430945,127.13401
지혜정보2 (서울 성동구 왕십리),37.561289,127.038382
진영텔레콤 (서울 구로구 개봉동),37.487873,126.856526
쭈니통신 (서울 금천구 시흥동),37.450279,126.908681
창조텔레콤 (서울 영등포구 신길동),37.506135,126.911278
천지모바일 (안산D) (안산 상록구 사동),37.284033,126.853185
청구TOP (서울 서대문구 홍은동),37.581824,126.924634
청년모바일 (경기 광주 경안동),37.409781,127.259419
청라정보통신 (인천 서구 청라동),37.532061,126.652919
청라정보통신_2호점 (인천 서구 청라동),37.532095,126.650948
최고텔레콤 (경기 시흥시 배곧동),37.377273,126.727459
케이텔 (성남 수정구 복정동),37.461449,127.127048
클래식모바일 (경기 평택시 서정동),37.070253,127.056818
태영통신 (서울 영등포구 당산동),37.524806,126.896076
태현정보통신 (서울 강서구 화곡동),37.532032,126.859752
터미널핸드폰 (포천 소흘읍),37.829384,127.148217
투지 (고양 일산동구 중산동),37.674756,126.786519
티아이앤이 (서울 동작구 대방동),37.500017,126.924672
파이팅 (인천 미추홀구 용현동),37.455801,126.642196
파이팅2호점(서울 양천구 목동),37.539153,126.866339
판매왕 (서울 강서구 화곡동),37.532499,126.848435
패밀리 가양점 (서울 강서구 가양동),37.570137,126.841334
패밀리 까치산점 (서울 강서구 화곡동),37.530861,126.849008
패밀리 신월점 (서울 양천구 신월동),37.532713,126.833203
패밀리 화곡점 (서울 강서구 화곡동),37.540572,126.833688
패밀리통신 (서울 영등포구 대림동),37.492004,126.900457
평화커뮤니케이션 (서울 구로구 구로동),37.489541,126.884593
평화커뮤니케이션_독산점 (서울 금천구 독산동),37.479391,126.903435
포마텔레콤 (서울 동대문구 답십리),37.573018,127.058363
포스 (부천 소사구 심곡본동 ),37.484032,126.782853
포스원정보통신 (서울 광진구 화양동),37.541528,127.068217
폰모아 (성남 중원구 금광동),37.451311,127.168497
폰바꿔정보통신 (서울 서대문구 북가좌),37.593987,126.918992
폰샵(신도림TM),37.506974,126.890319
폰아울렛박카스 (서울 성동구 행당동),37.558505,127.033286
폰폰폰 (서울 노원구 중계동),37.658434,127.074147
폰플러스 (신도림TM),37.506974,126.890319
프라임모바일 (서울 마포구 창전동),37.548362,126.92944
프렌즈모바일 (수원 권선구 서둔동),37.278967,126.978659
프리져 (서울 송파구 잠실동),37.50676,127.083166
피엔제이모바일 (서울 금천구 독산동),37.47491,126.900776
하이컴퍼니 (서울 종로구 무악동),37.57468,126.958111
한강 (서울 관악구 봉천동),37.486306,126.940565
한솔통신 (경기 광주 경안동),37.409707,127.258176
한얼정보통신김포 (경기 김포시 감정동),37.6229,126.697964
한얼정보통신인천 (인천 서구 심곡동),37.543721,126.67543
한유엘앤에스(고양 덕양구 관산동),37.688158,126.865282
해피 정보통신(성남 분당구 구미동),37.339981,127.106936
해피텔레콤 (서울 노원구 상계동),37.663043,127.074516
핸드폰아울렛365 (경기 하남시 망월동),37.569464,127.185668
행복에리 (안양 동안구 관양동),37.393861,126.962005
행복통신 (성남 분당구 판교동),37.389698,127.089769
행운통신 (서울 구로구 가리봉동),37.482876,126.887359
현텔레콤 (경기 하남시 망월동),37.566179,127.191053
형제텔레콤 (고양 덕양구 화정동),37.636017,126.833218
형제통신 (경기 광주시 태전동),37.384985,127.229726
혜인정보통신 (고양 덕양구 관산동),37.687795,126.863644
호호모바일 (서울 서대문구 홍제동),37.590331,126.946073
화이트텔레콤 (서울 영등포구 대림동),37.494557,126.897925
휴대폰광역시 (인천 미추홀구 용현동),37.453981,126.648867
휴대폰천하통일 (서울 관악구 봉천동),37.48969,126.928102
휴대폰클라쓰 (경기 이천 갈산동),37.280968,127.456695
위너모바일 (용인 수지구 상현동),37.307841,127.084672
피앤비 (신도림TM),37.506974,126.890319
영화통신 (안산D) (안산 단원구 선부동),37.337973,126.802767
천하모바일 (서울 관악구 봉천동),37.481944,126.943636
포스모바일_포스(신도림TM),37.506974,126.890319
찐폰 (경기 하남시 망월동),37.56431,127.193883
명품텔레콤 (고양 일산서구 일산동),37.685018,126.775257
OK텔레콤 (성남 분당구 구미동),37.340012,127.106724
신길소리 (서울 영등포구 대림동),37.494103,126.895428
센터모바일2_폰샵 (신도림TM),37.506974,126.890319
베스트솔루션스,37.519202,127.027899
따르릉_철산점(경기 광명시 철산동),37.479603,126.866752
폰스맨 (서울 강서구 화곡동),37.529912,126.838532
옆커폰_창동점 (서울 도봉구 창동),37.653308,127.049327
옆커폰_성균관대점 (수원 장안구 율전동),37.298359,126.971905
(본사)박인규,37.56744,127.082286
따르릉_신내점 (서울 중랑구 신내동),37.606683,127.095483
다드림 모바일(경기 고양시 신원동),37.664108,126.889694
옆커폰_일산탄현점 (고양 일산서구 탄현동),37.69166,126.763538
옆커폰_아라역점 (인천 서구 원당동),37.594416,126.712148
찐폰_신흥점 (성남 수정구 신흥동),37.443942,127.142794
옆커폰_평택역점 (경기 평택시 평택동),36.993816,127.089337
따르릉_가좌점 (서울 서대문구 북가좌동),37.576434,126.91444
옆커폰_청라2호점 (인천 서구 청라동),37.532528,126.644909
옆커폰_가락시장점 (서울 송파구 가락동),37.493593,127.120047
옆커폰_개롱역점 (서울 송파구 가락동),37.497978,127.134264
옆커폰_시흥은계점 (경기 시흥시 은행동),37.437282,126.803026
옆커폰_신길점 (서울 영등포구 신길동),37.512269,126.916646
솜모바일 (서울 강동구 암사동),37.550428,127.126372
옆커폰_신촌점 (서울 서대문구 창천동),37.556591,126.933748
옆커폰_군포점 (경기 군포 당동),37.346928,126.943277
옆커폰_행신점 (고양 덕양구 행신동),37.615224,126.835654
옆커폰_병점점 (화성 병점구 병점동),37.208057,127.043447
따르릉_검단점(인천 서구 당하동),37.613547,126.685568
신정통신 (서울 양천구 신정동),37.524997,126.854855
그냥저냥 (경기 평택 비전동),36.992534,127.102168
안평정보통신 (경기 평택시 비전동),36.997059,127.102542
가족통신 (용인 기흥구 중동),37.27809,127.151675
시은모바일 (화성 동탄구 능동),37.216683,127.058086
청년폰_도봉점 (폰샵D) (경기 광명시 광명동),37.477775,126.85213
사랑방통신 (성남 수정구 신흥동),37.443718,127.152817
무브모바일 (서울 은평구 녹번동),37.601219,126.933342
정성텔레콤 (경기 의정부시 용현동),37.732566,127.08577
에스엠티 마곡역점 (서울 강서구 마곡동),37.559017,126.823919
나루모바일 (부천D) (인천 미추홀구 주안동),37.448312,126.67823
뉴_라인(강변TM),37.5356993,127.095765
옆커폰_신대방점 (서울 관악구 신림동),37.486648,126.913664
